Cd-Artist/Band;Title;Year;Album;SongWriter;Lead vocal(s);
Beatles;I Should Have Known Better;1964;A Hard Day's Night;Lennon;Lennon;
Beatles;I Wanna Be Your Man;1963;With the Beatles;McCartney, with Lennon;Starkey;
Beatles;I Want to Hold Your Hand;1963;Past Masters Volume 1;Lennon and McCartney;Lennon and McCartney;
Beatles;I Want to Tell You;1966;Revolver;Harrison;Harrison;
Beatles;I Want You (She's So Heavy);1969;Abbey Road;Lennon;Lennon;
Beatles;I Will;1968;The Beatles;McCartney;McCartney;
Beatles;If I Fell;1964;A Hard Day's Night;Lennon;Lennon and McCartney;
Beatles;If I Needed Someone;1965;Rubber Soul;Harrison;Harrison;
Beatles;If You've Got Trouble;1965;Anthology 2;Lennon and McCartney;Starkey;
Beatles;I'll Be Back;1964;A Hard Day's Night;Lennon;Lennon;
Beatles;I'll Be on My Way;1963;Live at the BBC;Lennon;Lennon;
Beatles;I'll Cry Instead;1964;A Hard Day's Night;Lennon;Lennon;
Beatles;I'll Follow the Sun;1964;Beatles for Sale;McCartney;McCartney;
Beatles;I'll Get You;1963;Past Masters Volume 1;Lennon and McCartney;Lennon and McCartney;
Beatles;I'm a Loser;1964;Beatles for Sale;Lennon;Lennon;
Beatles;I'm Down;1965;Past Masters Volume 1;McCartney;McCartney;
Beatles;I'm Gonna Sit Right Down and Cry (Over You);1963;Live at the BBC;Thomas, Biggs;Lennon;
Beatles;I'm Happy Just to Dance with You;1964;A Hard Day's Night;Lennon;Harrison;
Beatles;I'm Looking Through You;1965;Rubber Soul;McCartney;McCartney;
Beatles;I'm Only Sleeping;1966;Revolver;Lennon;Lennon;
Beatles;I'm So Tired;1968;The Beatles;Lennon;Lennon;
Beatles;I'm Talking About You;1962;Live! at the Star-Club in Hamburg, Germany;1962;Berry;Lennon
Beatles;In My Life;1965;Rubber Soul;Lennon, with McCartney;Lennon;
Beatles;In Spite of All the Danger;1958;Anthology 1;McCartney and Harrison;Lennon;
Beatles;It Won't Be Long;1963;With the Beatles;Lennon, with McCartney;Lennon;
Beatles;It's All Too Much;1967;Yellow Submarine;Harrison;Harrison;
Beatles;It's Only Love;1965;Help!;Lennon;Lennon;
Beatles;I've Got a Feeling;1969;Let It Be;McCartney, with Lennon;McCartney, with Lennon;
Beatles;I've Just Seen a Face;1965;Help!;McCartney;McCartney;
Beatles;Johnny B. Goode;1964;Live at the BBC;Berry;Lennon;
Beatles;Julia;1968;The Beatles;Lennon;Lennon;
Beatles;Junk;1968;Anthology 3;McCartney;McCartney;
Beatles;Kansas City/Hey, Hey, Hey, Hey;1964;Beatles for Sale;Leiber, Stoller/Penniman;McCartney;
Beatles;Keep Your Hands Off My Baby;1963;Live at the BBC;Goffin, King;Lennon;
Beatles;Komm Gib Mir Deine Hand;1964;Past Masters Volume 1;Lennon/McCartney/Nicolas/Hellmer;Lennon and McCartney;
Beatles;Lady Madonna;1968;Past Masters Volume 2;McCartney;McCartney;
Beatles;Leave My Kitten Alone;1964;Anthology 1;Turner, McDougall;Lennon;
Beatles;Lend Me Your Comb;1963;Anthology 1;Twomey, Wise, Weisman;Lennon and McCartney;
Beatles;Let It Be;1969;Let It Be;McCartney;McCartney;
Beatles;Like Dreamers Do;1962;Anthology 1;McCartney;McCartney;
Beatles;Little Child;1963;With the Beatles;Lennon and McCartney;Lennon and McCartney;
Beatles;Lonesome Tears in My Eyes;1963;Live at the BBC;J. Burnette, D. Burnette, Burlison, Mortimer;Lennon;
Beatles;Long, Long, Long;1968;The Beatles;Harrison;Harrison;
Beatles;Long Tall Sally;1964;Past Masters Volume 1;Blackwell, Johnson, Penniman;McCartney;
Beatles;Love Me Do;1962;Please Please Me;McCartney, with Lennon;Lennon and McCartney;
Beatles;Love You To;1966;Revolver;Harrison;Harrison;
Beatles;Lovely Rita;1967;Sgt. Pepper's Lonely Hearts Club Band;McCartney;McCartney;
Beatles;Lucille;1963;Live at the BBC;Penniman, Collins;McCartney;
Beatles;Lucy in the Sky with Diamonds;1967;Sgt. Pepper's Lonely Hearts Club Band;Lennon;Lennon;
Beatles;Maggie Mae;1969;Let It Be;(Traditional) arr. Lennon, McCartney, Harrison, Starkey;Lennon;
Beatles;Magical Mystery Tour;1967;Magical Mystery Tour;McCartney, with Lennon;McCartney;
Beatles;Mailman, Bring Me No More Blues;1969;Anthology 3;Row, Katz, Roberts, Clayton;Lennon;
Beatles;Martha My Dear;1968;The Beatles;McCartney;McCartney;
Beatles;Matchbox;1964;Past Masters Volume 1;Perkins, Jefferson;Starkey (Best);
Beatles;Maxwell's Silver Hammer;1969;Abbey Road;McCartney;McCartney;
Beatles;Mean Mr. Mustard;1969;Abbey Road;Lennon;Lennon;
Beatles;Memphis, Tennessee;1963;Live at the BBC;Berry;Lennon;
Beatles;Michelle;1965;Rubber Soul;McCartney, with Lennon;McCartney;
Beatles;Misery;1963;Please Please Me;Lennon and McCartney;Lennon and McCartney;
Beatles;Money (That's What I Want);1963;With the Beatles;Gordy, Bradford;Lennon;
Beatles;Moonlight Bay;1963;Anthology 1;Percy Wenrich, Edward Madden;Lennon, McCartney, Harrison, Eric Morecambe, Ernie Wise;
Beatles;Mother Nature's Son;1968;The Beatles;McCartney;McCartney;
Beatles;Mr. Moonlight;1964;Beatles for Sale;Johnson;Lennon;
Beatles;My Bonnie;1961;Anthology 1;Sheridan with Lennon and McCartney;Sheridan;
Beatles;No Reply;1964;Beatles for Sale;Lennon, with McCartney;Lennon, with McCartney;
Beatles;Norwegian Wood (This Bird Has Flown);1965;Rubber Soul;Lennon;Lennon;
Beatles;Not a Second Time;1963;With the Beatles;Lennon;Lennon;
Beatles;Not Guilty;1968;Anthology 3;Harrison;Harrison;
Beatles;Nothin' Shakin' (But the Leaves on the Trees);1963;Live at the BBC;Fontaine;Harrison;
Beatles;Nowhere Man;1965;Rubber Soul;Lennon;Lennon;
Beatles;Ob-La-Di, Ob-La-Da;1968;The Beatles;McCartney;McCartney;
Beatles;Octopus's Garden;1969;Abbey Road;Starkey;Starkey;
Beatles;Oh! Darling;1969;Abbey Road;McCartney;McCartney;
Beatles;Old Brown Shoe;1969;Past Masters Volume 2;Harrison;Harrison;
Beatles;One After 909;1969;Let It Be;Lennon, with McCartney;Lennon and McCartney;
Beatles;Only a Northern Song;1967;Yellow Submarine;Harrison;Harrison;
Beatles;Ooh! My Soul;1963;Live at the BBC;Penniman;McCartney;
Beatles;Paperback Writer;1966;Past Masters Volume 2;McCartney;McCartney;
Beatles;Penny Lane;1967;Magical Mystery Tour;McCartney;McCartney;
Beatles;Piggies;1968;The Beatles;Harrison;Harrison;
Beatles;Please Mr. Postman;1963;With the Beatles;Dobbins, Garrett, Holland, Bateman, Gorman;Lennon;
Beatles;Please Please Me;1962;Please Please Me;Lennon;Lennon and McCartney;
Beatles;Polythene Pam;1969;Abbey Road;Lennon;Lennon;
Beatles;P.S. I Love You;1962;Please Please Me;McCartney;McCartney;
Beatles;Rain;1966;Past Masters Volume 2;Lennon;Lennon;
Beatles;Real Love;1979;Anthology 2;Lennon, with McCartney, Harrison, Starkey;Lennon;
Beatles;Revolution;1968;Past Masters Volume 2;Lennon;Lennon;
Beatles;Revolution 1;1968;The Beatles;Lennon;Lennon;
Beatles;Revolution 9;1968;The Beatles;Lennon, with Ono and Harrison;N/A;
Beatles;Rip It Up/Shake, Rattle, and Roll/Blue Suede Shoes;1969;Anthology 3;Blackwell-Marascalco (Rip It Up), Calhoun (Shake, Rattle, and Roll), Perkins (Blue Suede Shoes);Lennon and McCartney;
Beatles;Rock and Roll Music;1964;Beatles for Sale;Berry;Lennon;
Beatles;Rocky Raccoon;1968;The Beatles;McCartney;McCartney;
Beatles;Roll Over Beethoven;1963;With the Beatles;Berry;Harrison;
Beatles;Run for Your Life;1965;Rubber Soul;Lennon;Lennon;
Beatles;Savoy Truffle;1968;The Beatles;Harrison;Harrison;
Beatles;Searchin';1962;Anthology 1;Leiber, Stoller;McCartney;
Beatles;Sexy Sadie;1968;The Beatles;Lennon;Lennon;
Beatles;Sgt. Pepper's Lonely Hearts Club Band;1967;Sgt. Pepper's Lonely Hearts Club Band;McCartney;McCartney;
Beatles;Sgt. Pepper's Lonely Hearts Club Band (Reprise);1967;Sgt. Pepper's Lonely Hearts Club Band;McCartney;McCartney, Lennon and Harrison;
Beatles;She Came in Through the Bathroom Window;1969;Abbey Road;McCartney;McCartney;
Beatles;She Loves You;1963;Past Masters Volume 1;Lennon and McCartney;Lennon and McCartney;
Beatles;She Said She Said;1966;Revolver;Lennon;Lennon;
Beatles;She's a Woman;1964;Past Masters Volume 1;McCartney;McCartney;
Beatles;She's Leaving Home;1967;Sgt. Pepper's Lonely Hearts Club Band;McCartney, with Lennon;McCartney, with Lennon;
Beatles;Shout;1964;Anthology 1;Isley, Isley, Isley;Lennon, McCartney, Harrison and Starkey;
Beatles;Sie Liebt Dich;1964;Past Masters Volume 1;Lennon and McCartney/Nicolas/Montague;Lennon?McCartney;
Beatles;Slow Down;1964;Past Masters Volume 1;Williams;Lennon;
Beatles;So How Come (No One Loves Me);1963;Live at the BBC;Bryant, Bryant;Harrison;
Beatles;Soldier of Love (Lay Down Your Arms);1963;Live at the BBC;Cason, Moon;Lennon;
Beatles;Some Other Guy;1963;Live at the BBC;Leiber, Stoller, Barrett;Lennon and McCartney;
Beatles;Something;1969;Abbey Road;Harrison;Harrison;
Beatles;Step Inside Love/Los Paranoias;1968;Anthology 3;McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias);McCartney
Beatles;Strawberry Fields Forever;1967;Magical Mystery Tour;Lennon;Lennon;
Beatles;Sun King;1969;Abbey Road;Lennon;Lennon;
Beatles;Sure to Fall (In Love with You);1963;Live at the BBC;Perkins, Claunch, Cantrell;McCartney;
Beatles;Sweet Little Sixteen;1963;Live at the BBC;Berry;Lennon;
Beatles;Taxman;1966;Revolver;Harrison, with Lennon;Harrison;
Beatles;Teddy Boy;1969;Anthology 3;McCartney;McCartney;
Beatles;Tell Me What You See;1965;Help!;Lennon and McCartney;Lennon and McCartney;
Beatles;Tell Me Why;1964;A Hard Day's Night;Lennon;Lennon;
Beatles;Thank You Girl;1963;Past Masters Volume 1;Lennon and McCartney;Lennon and McCartney;
Beatles;That Means a Lot;1965;Anthology 2;McCartney;McCartney;
Beatles;That'll Be the Day;1958;Anthology 1;Allison, Holly, Petty;Lennon;
Beatles;That's All Right (Mama);1963;Live at the BBC;Crudup;McCartney;
Beatles;The Ballad of John and Yoko;1969;Past Masters Volume 2;Lennon;Lennon;
Beatles;The Continuing Story of Bungalow Bill;1968;The Beatles;Lennon;Lennon, with Starkey;
Beatles;The End;1969;Abbey Road;McCartney;McCartney;
Beatles;The Fool on the Hill;1967;Magical Mystery Tour;McCartney;McCartney;
Beatles;The Honeymoon Song;1963;Live at the BBC;Theodorakis, Sansom;McCartney;
Beatles;The Inner Light;1968;Past Masters Volume 2;Harrison;Harrison;
Beatles;The Long and Winding Road;1969;Let It Be;McCartney;McCartney;
Beatles;The Night Before;1965;Help!;McCartney;McCartney;
Beatles;The Sheik of Araby;1962;Anthology 1;Smith, Wheeler-Snyder;Harrison;
Beatles;The Word;1965;Rubber Soul;Lennon, with McCartney;Lennon, McCartney and Harrison;
Beatles;There's a Place;1963;Please Please Me;Lennon and McCartney;Lennon and McCartney;
Beatles;Things We Said Today;1964;A Hard Day's Night;McCartney;McCartney;
Beatles;Think for Yourself;1965;Rubber Soul;Harrison;Harrison;
Beatles;This Boy;1963;Past Masters Volume 1;Lennon;Lennon, McCartney and Harrison;
Beatles;Three Cool Cats;1962;Anthology 1;Leiber, Stoller;Harrison;
Beatles;Ticket to Ride;1965;Help!;Lennon, with McCartney;Lennon;
Beatles;Till There Was You;1963;With the Beatles;Willson;McCartney;
Beatles;To Know Her is to Love Her;1963;Live at the BBC;Spector;Lennon;
Beatles;Tomorrow Never Knows;1966;Revolver;Lennon;Lennon;
Beatles;Too Much Monkey Business;1963;Live at the BBC;Berry;Lennon;
Beatles;Twist and Shout;1963;Please Please Me;Medley, Russell;Lennon;
Beatles;Two of Us;1969;Let It Be;McCartney;McCartney, with Lennon;
Beatles;Wait;1965;Rubber Soul;Lennon and McCartney;Lennon and McCartney;
Beatles;We Can Work It Out;1965;Past Masters Volume 2;McCartney, with Lennon;McCartney, with Lennon;
Beatles;What Goes On;1965;Rubber Soul;Lennon, with McCartney and Starkey;Starkey;
Beatles;What You're Doing;1964;Beatles for Sale;McCartney;McCartney;
Beatles;What's The New Mary Jane;1968;Anthology 3;Lennon;Lennon;
Beatles;When I Get Home;1964;A Hard Day's Night;Lennon;Lennon;
Beatles;When I'm Sixty-Four;1967;Sgt. Pepper's Lonely Hearts Club Band;McCartney;McCartney;
Beatles;While My Guitar Gently Weeps;1968;The Beatles;Harrison;Harrison;
Beatles;Why Don't We Do It in the Road?;1968;The Beatles;McCartney;McCartney;
Beatles;Wild Honey Pie;1968;The Beatles;McCartney;McCartney;
Beatles;With a Little Help from My Friends;1967;Sgt. Pepper's Lonely Hearts Club Band;Lennon and McCartney;Starkey;
Beatles;Within You Without You;1967;Sgt. Pepper's Lonely Hearts Club Band;Harrison;Harrison;
Beatles;Words of Love;1964;Beatles for Sale;Holly;Lennon and McCartney;
Beatles;Yellow Submarine;1966;Revolver;McCartney, with Lennon;Starkey;
Beatles;Yer Blues;1968;The Beatles;Lennon;Lennon;
Beatles;Yes It Is;1965;Past Masters Volume 1;Lennon;Lennon, McCartney and Harrison;
Beatles;Yesterday;1965;Help!;McCartney;McCartney;
Beatles;You Can't Do That;1964;A Hard Day's Night;Lennon;Lennon;
Beatles;You Know My Name (Look Up the Number);1969;Past Masters Volume 2;Lennon, with McCartney;Lennon and McCartney;
Beatles;You Know What to Do;1964;Anthology 1;Harrison;Harrison;
Beatles;You Like Me Too Much;1965;Help!;Harrison;Harrison;
Beatles;You Never Give Me Your Money;1969;Abbey Road;McCartney;McCartney;
Beatles;You Really Got a Hold on Me;1963;With the Beatles;Robinson;Lennon and Harrison;
Beatles;You Won't See Me;1965;Rubber Soul;McCartney;McCartney;
Beatles;You'll Be Mine;1960;Anthology 1;Lennon and McCartney;McCartney;
Beatles;Young Blood;1963;Live at the BBC;Leiber, Stoller;Harrison;
Beatles;Your Mother Should Know;1967;Magical Mystery Tour;McCartney;McCartney;
Beatles;You're Going to Lose That Girl;1965;Help!;Lennon;Lennon;
Beatles;You've Got to Hide Your Love Away;1965;Help!;Lennon;Lennon;
